,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,Which of the following best describes your work position?,Do you work remotely?
994,0,500-1000,0.0,No,I am not sure,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Neutral,No,I don't know,Yes,Maybe,No,0,Sometimes,Sometimes,29.0,male,DevOps/SysAdmin,Never
995,0,More than 1000,1.0,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,1,"Yes, they all did",I was aware of some,I don't know,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,30.0,male,Back-end Developer,Always
996,0,100-500,1.0,I don't know,No,No,I don't know,Yes,Somewhat difficult,Maybe,No,No,No,No,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,unknown,Yes,Maybe,Yes,No,0,Rarely,Sometimes,30.0,male,Supervisor/Team Lead,Never
997,0,100-500,1.0,Yes,I am not sure,No,I don't know,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,I don't know,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,Some of them,Yes,Yes,Maybe,"No, I don't think they would",Very open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Never,Often,38.0,male,Designer,Always
998,0,26-100,0.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,I don't know,No,1,Some did,"No, I only became aware later",None did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,Yes,Yes,Maybe,Maybe,Very open,Maybe/Not sure,Yes,Yes,Maybe,No,1,Sometimes,Sometimes,30.0,male,Back-end Developer,Never
999,0,26-100,1.0,No,No,No,No,I don't know,Somewhat easy,No,Maybe,No,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Yes,Maybe,"No, I don't think they would",Somewhat not open,No,Yes,No,Yes,Yes,0,Sometimes,Sometimes,26.0,male,Back-end Developer,Never
1000,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",Some did,Some of them,Yes,Yes,"No, it has not","No, they do not",Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,1,Sometimes,Sometimes,27.0,male,One-person shop,Always
1001,0,1-5,1.0,No,unknown,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,None of them,None of them,Some of my previous employers,I don't know,I don't know,None of them,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,24.0,male,Front-end Developer,Always
1002,0,100-500,1.0,Yes,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,No,No,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,35.0,male,Other,Never
1003,0,More than 1000,1.0,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,Yes,Yes,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,None of them,Maybe,No,"Yes, I think it would",Maybe,Very open,No,No,Maybe,Maybe,Yes,1,Rarely,Rarely,38.0,male,Supervisor/Team Lead,Sometimes
1004,0,100-500,1.0,Yes,Yes,No,I don't know,Yes,Very easy,Maybe,Maybe,No,No,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,"Yes, always",Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,No,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,1,Sometimes,Often,36.0,non-binary,Supervisor/Team Lead,Sometimes
1005,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",N/A (not currently aware),"Yes, they all did",None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Yes,Maybe,Maybe,Very open,"Yes, I observed",No,Yes,Yes,Yes,1,Rarely,Rarely,34.0,male,One-person shop,Always
1006,0,26-100,1.0,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,No,No,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Maybe,Maybe,Somewhat not open,"Yes, I experienced",I don't know,Yes,Maybe,Yes,1,Rarely,Sometimes,35.0,male,Front-end Developer,Sometimes
1007,0,6-25,1.0,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,Some of my previous employers,"Yes, at all of my previous employers",I don't know,None of them,No,No,Maybe,"No, I don't think they would",Somewhat open,unknown,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,25.0,male,Supervisor/Team Lead,Sometimes
1008,0,100-500,1.0,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,1,Some did,I was aware of some,None did,None did,No,Some of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,Some of them,Yes,Yes,"No, it has not",Maybe,Very open,"Yes, I experienced",No,Yes,Maybe,Yes,1,Sometimes,Often,32.0,female,Other,Never
1009,0,100-500,1.0,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,Some did,Some of them,No,No,"Yes, I think it would",Maybe,Neutral,No,Yes,No,No,No,0,Rarely,Sometimes,32.0,non-binary,Front-end Developer,Never
1010,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,"No, I only became aware later",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,No,"Yes, I think it would",Maybe,Somewhat open,unknown,Yes,Maybe,Maybe,Yes,1,Rarely,Sometimes,37.0,male,Front-end Developer,Sometimes
1011,0,100-500,1.0,I don't know,I am not sure,No,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,I don't know,No,1,"Yes, they all did",I was aware of some,None did,"Yes, they all did","Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,unknown,No,Yes,Maybe,No,1,Never,Sometimes,28.0,male,Back-end Developer,Sometimes
1012,0,500-1000,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,1,"No, none did",I was aware of some,Some did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Maybe,Maybe,Somewhat not open,No,I don't know,Maybe,No,No,1,Never,Sometimes,34.0,female,Back-end Developer,Sometimes
1013,0,More than 1000,1.0,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,No,No,Maybe,No,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,"Yes, they all did","Yes, always",I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,Sometimes,40.0,female,Back-end Developer,Never
1014,0,More than 1000,1.0,Yes,I am not sure,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Yes,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",I don't know,Yes,No,Yes,1,Rarely,Often,45.0,male,Other,Never
1015,0,100-500,1.0,I don't know,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,unknown,Yes,No,No,No,0,Not applicable to me,Not applicable to me,31.0,male,Back-end Developer,Sometimes
1016,0,More than 1000,0.0,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,None did,None of them,Yes,Maybe,Maybe,"Yes, I think they would",Very open,No,Yes,Yes,Yes,Yes,1,Rarely,Often,30.0,male,Back-end Developer,Sometimes
1017,0,More than 1000,0.0,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Yes,Yes,Maybe,Maybe,Very open,"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,47.0,female,Supervisor/Team Lead,Sometimes
1018,0,100-500,1.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,Maybe,Maybe,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,"Yes, I think it would",Maybe,Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,48.0,male,Front-end Developer,Sometimes
1019,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,"Yes, I observed",Yes,Yes,Yes,No,0,Not applicable to me,Often,44.0,male,One-person shop,Sometimes
1020,0,More than 1000,1.0,Not eligible for coverage / N/A,No,No,I don't know,I don't know,Very difficult,Yes,Maybe,No,Maybe,No,Yes,1,Some did,I was aware of some,Some did,Some did,Sometimes,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,"Yes, it has","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,Maybe,Maybe,Yes,1,Sometimes,Sometimes,29.0,male,Other,Never
1021,0,More than 1000,0.0,Yes,Yes,Yes,Yes,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,52.0,male,Supervisor/Team Lead,Always
1022,0,100-500,1.0,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,Some did,Some of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",No,Yes,No,No,0,Sometimes,Sometimes,34.0,female,Other,Sometimes
1023,0,100-500,1.0,Yes,Yes,No,I don't know,I don't know,Very easy,No,No,Maybe,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,"No, I don't think they would",Very open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,34.0,male,Other,Never
1024,0,More than 1000,1.0,I don't know,I am not sure,I don't know,Yes,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,27.0,male,Back-end Developer,Sometimes
1025,0,More than 1000,1.0,No,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,No,No,No,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Maybe,"Yes, they do",Somewhat open,Maybe/Not sure,I don't know,Maybe,Maybe,No,0,Not applicable to me,Sometimes,30.0,male,Front-end Developer,Sometimes
1026,0,6-25,1.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,"Yes, they all did","Yes, I was aware of all of them","Yes, they all did",Some did,No,None of them,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,Some of them,Yes,No,"No, it has not","No, they do not",Neutral,"Yes, I experienced",Yes,Yes,Maybe,No,0,Sometimes,Sometimes,40.0,male,Executive Leadership,Sometimes
1027,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,"Yes, all of them",Some of my previous employers,Some of my previous employers,I don't know,Some of them,Yes,Maybe,Maybe,Maybe,Very open,No,Yes,Yes,Yes,No,0,Not applicable to me,Sometimes,26.0,male,DevOps/SysAdmin,Always
1028,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,Yes,No,No,No,1,Sometimes,Sometimes,36.0,male,Front-end Developer,Never
1029,0,26-100,0.0,I don't know,I am not sure,No,No,I don't know,Very difficult,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, it has","No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,No,0,Not applicable to me,Often,35.0,male,DevOps/SysAdmin,Always
1030,0,More than 1000,0.0,Yes,No,No,Yes,I don't know,Somewhat easy,Maybe,No,No,Maybe,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,No,Maybe,"Yes, I think it would","Yes, I think they would",Not open at all,No,No,No,No,No,0,Not applicable to me,Not applicable to me,43.0,female,Supervisor/Team Lead,Never
1031,0,26-100,0.0,No,unknown,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",I don't know,Yes,Yes,Yes,1,Not applicable to me,Often,36.0,female,Back-end Developer,Sometimes
1032,0,100-500,0.0,Yes,Yes,No,Yes,Yes,I don't know,Yes,No,Maybe,Yes,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",I don't know,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,Maybe,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),unknown,No,No,No,No,0,Not applicable to me,Not applicable to me,32.0,female,Other,Sometimes
1033,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,No,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,36.0,female,Executive Leadership,Always
1034,0,More than 1000,1.0,No,unknown,No,I don't know,I don't know,Very difficult,Yes,No,No,No,No,Yes,1,Some did,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Not open at all,"Yes, I observed",Yes,Yes,Yes,Yes,1,Sometimes,Often,38.0,male,Other,Never
1035,0,More than 1000,0.0,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,I don't know,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,None of them,None of them,"Yes, at all of my previous employers",Some of my previous employers,Some did,None of them,Maybe,No,Maybe,Maybe,Somewhat open,"Yes, I observed",No,Yes,Maybe,No,1,Not applicable to me,Sometimes,35.0,male,Other,Always
1036,0,100-500,1.0,Not eligible for coverage / N/A,unknown,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,35.0,female,DevOps/SysAdmin,Sometimes
1037,0,More than 1000,1.0,Yes,I am not sure,No,I don't know,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,No,No,1,Some did,I was aware of some,Some did,Some did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",Yes,No,Yes,Yes,1,Often,Often,45.0,male,DevOps/SysAdmin,Always
1038,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,Some of my previous employers,I don't know,"Yes, they all did",None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,47.0,male,Front-end Developer,Always
1039,0,100-500,1.0,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27.0,male,Supervisor/Team Lead,Sometimes
1040,0,26-100,1.0,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,No,Maybe,Maybe,Very open,No,Yes,Yes,No,Yes,1,Sometimes,Often,26.0,male,Front-end Developer,Sometimes
1041,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",N/A (not currently aware),None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,Yes,No,Yes,1,Rarely,Rarely,51.0,male,One-person shop,Always
1042,0,26-100,1.0,No,No,No,No,No,Very difficult,Yes,No,No,No,No,No,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Often,Rarely,25.0,male,Back-end Developer,Sometimes
1043,0,100-500,1.0,No,unknown,No,No,No,I don't know,Yes,Maybe,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, it has",Maybe,Somewhat open,"Yes, I observed",No,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,41.0,male,DevOps/SysAdmin,Sometimes
1044,0,More than 1000,0.0,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No,Yes,Yes,No,Yes,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),unknown,No,No,No,No,0,Not applicable to me,Not applicable to me,34.0,male,Front-end Developer,Sometimes
1045,0,100-500,1.0,No,unknown,No,No,I don't know,Very difficult,Maybe,No,Yes,No,I don't know,No,1,Some did,I was aware of some,None did,None did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,No,No,0,Not applicable to me,Not applicable to me,43.0,male,Back-end Developer,Never
1046,0,26-100,1.0,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,No,Maybe,Yes,No,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,Yes,Yes,Yes,Yes,0,Rarely,Often,33.0,male,Supervisor/Team Lead,Never
1047,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,No,No,No,0,Not applicable to me,Not applicable to me,37.0,male,One-person shop,Sometimes
1048,0,26-100,1.0,No,unknown,No,No,I don't know,Very difficult,Yes,No,No,No,No,No,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Often,27.0,female,Back-end Developer,Never
1049,1,Not applicable,2.0,Not applicable,unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,1,Rarely,Sometimes,54.0,female,Other,Sometimes
1050,0,More than 1000,0.0,I don't know,I am not sure,No,No,I don't know,Very easy,No,No,No,No,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat not open,"Yes, I observed",Yes,No,No,No,0,Rarely,Often,38.0,male,DevOps/SysAdmin,Never
1051,0,More than 1000,1.0,No,No,No,No,I don't know,I don't know,Maybe,Maybe,Yes,Maybe,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,No,Maybe,Maybe,Very open,No,I don't know,Yes,No,Yes,1,Sometimes,Often,42.0,male,Back-end Developer,Sometimes
1052,0,26-100,1.0,Yes,I am not sure,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,No,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No,Maybe,No,No,0,Not applicable to me,Not applicable to me,30.0,male,Designer,Sometimes
1053,0,500-1000,1.0,Yes,I am not sure,Yes,Yes,Yes,Somewhat easy,Maybe,Maybe,Maybe,Yes,Yes,No,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,I don't know,"Yes, all of them",Maybe,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,Yes,No,Yes,1,Never,Rarely,43.0,male,Supervisor/Team Lead,Sometimes
